goodsID,name,type,author,page_size,origin_price,preferential_price,publisher,comments_count,favorable_rate,publish_time
11993134,Python编程从入门到实践第2版(图灵出品),编程,[美] 埃里克·马瑟斯（Eric Matthes） 著 袁国忠 译,445,89.00,61.40,人民邮电出版社,50万+,0.99,2020-10-01
12842874,Python编程三剑客：Python编程从入门到实践第2版+快速上手第2版+极客编程（套装共3册）,编程,[美] 埃里克·马瑟斯（Eric Matthes） Al Sweigart 斯维加特 Mahesh ... 著,1145,247.00,183.90,人民邮电出版社,50万+,0.99,2020-04-01
13311016,C++服务器开发精髓(博文视点出品),编程,张远龙 著,752,168.00,168.00,电子工业出版社,10万+,0.98,2021-07-01
12353915,零基础学Python（Python3.9全彩版）（编程入门项目实践同步视频）,编程,明日科技（MingRi Soft） 著 明日科技 编,464,79.80,69.50,吉林大学出版社,20万+,0.99,2021-04-01
12908688,C++PrimerPlus第6版中文版(异步图书出品),编程,[美] 史蒂芬·普拉达（Stephen Prata） 著 张海龙 袁国忠 译,678,118.00,118.00,人民邮电出版社,10万+,0.98,2020-07-01
12842860,C语言程序设计入门教程：CPrimerPlus第6版中文版+习题解答（套装2册）(异步图书出品),编程,[美] 史蒂芬·普拉达（Stephen Prata） 著 曹良亮 编,873,187.00,187.00,人民邮电出版社,5万+,0.98,2020-04-01
11144230,算法导论（原书第3版）/计算机科学丛书[IntroductiontoAlgorithms thirdedition],编程,[美] Thomas H.Cormen [美] Charles E.Leiserson [美] Ronald L.Rivest [美] Clifford Stein 著 殷建平 徐云 王刚 等 译,796,128.00,85.30,机械工业出版社,5万+,0.99,2012-12-01
12800420,Java核心技术第11版套装共2册,编程,[美] 凯·S·霍斯特曼（Cay S Horstmann） 著,unknown,298.00,205.60,机械工业出版社,10万+,0.98,2020-01-01
12627795,CPrimerPlus第6版中文版(异步图书出品),编程,[美] 史蒂芬·普拉达（Stephen Prata） 著 姜佑 译,541,108.00,108.00,人民邮电出版社,5万+,0.98,2019-11-01
12398725,利用Python进行数据分析（原书第2版）[PythonforDataAnalysis:DataWranglingwithPand],编程,[美] 韦斯·麦金尼（Wes McKinney） 著 徐敬一 译,492,119.00,79.30,机械工业出版社,5万+,0.99,2018-08-01
11098789,算法(第4版)(图灵出品)[Algorithms FourthEdition],编程,[美] Robert Sedgewick [美] Kevin Wayne 著 谢路云 译,636,99.00,99.00,人民邮电出版社,10万+,0.99,2012-10-01
12607299,深入理解Java虚拟机：JVM高级特性与最佳实践（第3版）,编程,周志明 著,540,129.00,86.00,机械工业出版社,10万+,0.98,2019-12-01
11306138,C++Primer（中文版第5版）(博文视点出品),编程,Stanley B. Lippman Josée Lajoie Barbara E. Moo 著 王刚 杨巨峰 译 叶劲峰 李云 刘未鹏 等 校,848,128.00,92.20,电子工业出版社,10万+,0.98,2013-09-01
12717901,C++语言入门经典教程：C++PrimerPlus第6版中文版+中文版习题解答（套装2册)(异步图书出品),编程,[美] 史蒂芬·普拉达（Stephen Prata） 著,unknown,207.00,207.00,人民邮电出版社,10万+,0.98,2020-07-01
10058164,Java编程思想（第4版）[thinkinginjava],编程,[美] Bruce  Eckel 著 陈昊鹏 译,880,108.00,72.00,机械工业出版社,5万+,0.97,2007-06-01
12452929,Python学习手册（套装上下册）（原书第5版）[LearningPython],编程,[美] 马克·卢茨（Mark Lutz） 著 秦鹤 林明 译,unknown,219.00,146.00,机械工业出版社,2万+,0.99,2018-11-01
12759308,Java核心技术卷I基础知识（原书第11版）[CoreJavaVolumeⅠ-Fundamentals(EleventhEdition)],编程,[美] 凯·S.霍斯特曼（Cay S.Horstmann） 著,636,149.00,99.30,机械工业出版社,10万+,0.98,2019-12-01
12759911,labuladong的算法小抄(Python Java C++零基础)(博文视点出品),编程,付东来（@labuladong） 著,unknown,99.00,99.00,电子工业出版社,10万+,0.99,2020-12-01
10026907789855,【2021新版】Python编程三剑客：Python编程从入门到实践2+快速上手2+极客编程套装三册,编程,[美] 温科特卡姆(MaheshVenkitacha 著,unknown,267.80,151.00,人民邮电出版社,500+,0.95,2017-05-01
12835755,嵌入式C语言自我修养——从芯片、编译器到操作系统(博文视点出品),编程,王利涛 著,568,118.00,118.00,电子工业出版社,5万+,0.98,2021-04-01
12186192,流畅的Python(图灵出品),编程,[巴西] Luciano Ramalho 著 安道 吴珂 译,unknown,139.00,139.00,人民邮电出版社,2万+,0.99,2017-05-01
12574716,C语言从入门到精通(第4版),编程,明日科技 著,418,69.80,48.10,清华大学出版社,10万+,0.98,2019-01-01
10031171067986,Python编程三剑客：Python编程从入门到实践第2版+python快速上手第2版+极客项目编程,编程,[美] 埃里克·马瑟斯（Eric Matthes） 著,1145,267.80,129.00,人民邮电出版社,100+,1.0,2021-03-31
21738292624,【2021新版】Python编程从入门到实践(第2版),编程,[美] 埃里克·马瑟斯 著,unknown,109.80,79.90,人民邮电出版社,5000+,0.99,2020-10-01
13131482,Python编程快速上手让繁琐工作自动化第2版,编程,[美] 阿尔·斯维加特（Al Sweigart） 著,440,89.00,89.00,人民邮电出版社,50万+,0.99,2021-03-01
13281918,【程序员小灰】漫画算法2：小灰的算法进阶（签名版随机发放）（全彩）(博文视点出品),编程,魏梦舒（@程序员小灰） 著,unknown,88.00,88.00,电子工业出版社,10万+,0.99,2021-05-01
13045812,C和C++经典著作：C和指针+C专家编程+C陷阱与缺陷（京东套装共3册）,编程,[美] 肯尼斯·里科（Kenneth Reek） 彼得·范德林登 [美] 安德鲁·凯尼格 著,891,217.00,217.00,人民邮电出版社,1000+,1.0,2020-11-01
12507084,EffectiveJava中文版（原书第3版）,编程,约书亚·布洛克（Joshua Bloch） 著 俞黎敏 译,unknown,119.00,79.30,机械工业出版社,10万+,0.98,2019-01-01
12163054,剑指Offer：名企面试官精讲典型编程题（第2版）(博文视点出品),编程,何海涛 著,348,65.00,65.00,电子工业出版社,10万+,0.99,2017-04-01
12853507,零基础Python学习笔记,编程,明日科技 著,296,108.00,48.60,电子工业出版社,2000+,0.99,2021-03-01
12507084,EffectiveJava中文版（原书第3版）,编程,约书亚·布洛克（Joshua Bloch） 著 俞黎敏 译,unknown,119.00,79.30,机械工业出版社,10万+,0.98,2019-01-01
12163054,剑指Offer：名企面试官精讲典型编程题（第2版）(博文视点出品),编程,何海涛 著,348,65.00,65.00,电子工业出版社,10万+,0.99,2017-04-01
12853507,零基础Python学习笔记,编程,明日科技 著,296,108.00,48.60,电子工业出版社,2000+,0.99,2021-03-01
12185501,零基础学Java（全彩版）赠小白实战手册、练习题、纸质挂图/电子版魔卡,编程,明日科技（MingRi Soft） 著 明日科技 编,432,69.80,57.10,吉林大学出版社,10万+,0.99,2017-09-01
12555860,Java从入门到精通（第5版）,编程,明日科技 著 javascript:void（0）; 注,580,69.80,47.90,清华大学出版社,10万+,0.98,2019-02-01
12575675,C++从入门到精通（第4版）（软件开发视频大讲堂）,编程,明日科技 著,512,79.80,59.00,清华大学出版社,10万+,0.98,2019-09-01
13284888,Java从入门到精通（第6版）（软件开发视频大讲堂）,编程,明日科技 著 明日科技 编,492,79.80,55.00,清华大学出版社,10万+,0.98,2021-07-01
12250414,零基础学C语言（全彩版）基础入门、实例进阶、实战练习 赠视频、源码、必刷题、电子魔卡,编程,明日科技（MingRi Soft） 著 明日科技 编,432,69.80,57.10,吉林大学出版社,10万+,0.99,2017-10-01
12725659,DK英国中小学生STEAM课程读本·编程很简单[7-14岁],编程,英国DK公司 著 邹华晓 译,224,108.00,96.60,中国大百科全书出版社,50万+,0.99,2019-10-01
12696631321,包邮CPrimerPlus(第6版)(中文版)C语言入门教程计算机c语言编程语言与程序设计,编程,[美] Prata 著,unknown,108.00,54.00,人民邮电出版社,2000+,0.98,2016-04-01
12941930,超简单：用Python让Excel飞起来,编程,王秀文 郭明鑫 王宇韬 著,288,69.80,69.80,机械工业出版社,2万+,0.99,2020-08-01
12187988,Go程序设计语言,编程,艾伦A. A. 多诺万 著 李道兵 高博 庞向才 金鑫鑫 林齐斌 译,286,79.00,62.40,机械工业出版社,2万+,0.99,2017-05-01
10393318,EffectiveC++：改善程序与设计的55个具体做法（第3版中文版）(博文视点出品),编程,[美] 梅耶（Scott Meyers） 著 侯捷 译,336,89.00,89.00,电子工业出版社,10万+,0.98,2011-01-01
12955976,Scratch儿童少儿编程：基础入门+趣味实例+动画游戏（全彩印刷+视频教学）（套装共3册）,编程,蹇彤 王丽君 爱编程的魏校长 等 著,unknown,249.40,249.40,中国水利水电出版社,1万+,0.98,2020-08-01
12654873,看漫画学Python：有趣、有料、好玩、好用（全彩版）(博文视点出品),编程,关东升 著 赵大羽 绘,unknown,89.00,89.00,电子工业出版社,2000+,0.98,2020-06-01
12536373,你不知道的JavaScript上卷+中卷+下卷（套装共3册京东）(图灵出品),编程,阿斯顿·张（Aston Zhang） 著,unknown,207.00,138.70,人民邮电出版社,2000+,0.98,2019-06-01
12832130,第一行代码Android第3版(图灵出品),编程,郭霖 著,692,99.00,67.00,人民邮电出版社,2万+,0.98,2020-04-01
12570242,SpringBoot编程思想（核心篇）(博文视点出品),编程,小马哥 著,628,118.00,118.00,电子工业出版社,5万+,0.99,2019-04-01
12467272,Python从入门到精通（软件开发视频大讲堂）,编程,明日科技 著,unknown,79.80,59.00,清华大学出版社,10万+,0.98,2018-10-01
