goodsID,name,type,author,page_size,origin_price,preferential_price,publisher,comments_count,favorable_rate,publish_time
71941642533,全套60册】小牛顿科学馆礼盒装科普绘本少儿童百科全书益智绘本科学启蒙读物专小学生课外阅读书籍,科学,,unknown,1200.00,538.00,接力出版社,83,0.92,unknown
12661694,少年探索发现系列(全5册)宇宙之谜地球之谜世界之谜海洋之谜科学之谜中小学生少儿科普书籍青少年版读物百科全书7-10-12-15岁,科学,龚勋 著 龚勋 编,160,99.00,79.20,汕头大学出版社,5万+,0.99,2019-10-01
12177765,国家地理儿童百科全书（套装共12册）[7-10岁],科学,图说天下编委会 编,1920,298.80,246.10,浙江教育出版社,50万+,0.99,2017-09-01
12538687,DK博物大百科——自然界的视觉盛宴[11-14岁],科学,英国DK公司 著 张劲硕/等译 译,623,458.00,431.10,科学普及出版社,20万+,0.99,2018-09-01
11576860,玩转科学游戏中的科学和知识[7-10岁],科学,方怡 著,425,75.00,56.30,北京联合出版公司,5万+,0.99,2014-10-01
13042960,儿童科学探索立体书：了不起的发明（9大发明120趣味知识3D立体抽拉互动扫码听发明故事）6-12岁[6-12岁],科学,派糖童书 著,unknown,238.00,185.00,化学工业出版社,1万+,0.98,2020-09-01
48391318543,科普漫画神奇科学课全6册（彩色插图版）天气+化学+动物+植物+科学+物理中小学生故事百科知识全图书籍,科学,,unknown,234.00,58.80,天津人民美术出版社,90,1.0,unknown
12693467,德国少年儿童百科知识全书珍藏版套装全50册精美礼盒什么是什么系列WASWAS小学生儿童科学科普畅销书包邮[7-14岁],科学,[德] 卡尔‧乌班等 著 海豚传媒 编 林碧清等 译,2400,1750.00,1662.50,长江少年儿童出版社,50万+,0.99,2020-08-01
11732465,科学原来是这样[7-10岁],科学,侯海博 编,unknown,75.00,56.30,北京联合出版社,2万+,0.99,2015-07-01
26510791171,世界未解之谜大全集全套12册珍藏版中小学生科普书籍青少年版少儿童读物百科全书7-15岁图书科学宇宙,科学,,unknown,189.60,59.80,延边大学出版社,1000+,0.98,unknown
10028673851376,自营同款】这就是物理全10册漫画全套原版推荐经典物理科学启蒙小学生科普绘本少年儿童百科全书,科学,,unknown,200.00,99.00,北京理工大学出版社,200+,0.98,unknown
12859598,DK儿童大百科系列精选礼品套装（精装全5册）科学+历史+自然+动物+太空（原定价700元）[5~18][EncyclopediaofAnimals HistoryoftheWorld],科学,英国DK公司 著 孙降生 田彩环 向芬 李霄 赵玮 译,1836,700.00,700.00,中信出版集团,5万+,0.99,2020-05-01
10032753442878,万物有科学全8册小学版科学启蒙科普书籍数学物理力学地理课外图书三四五六年级课外书阅读老师推荐阅读书F,科学,,unknown,260.00,90.00,北京日报出版社,1,1.0,unknown
13305178,存在与科学一位科学家对存在大问题的探索中信出版社,科学,彼得·阿特金斯（Peter Atkins） 著,184,48.00,48.00,中信出版集团股份有限公司,24,1.0,2021-06-01
12690733,樊登推荐 李永乐老师给孩子讲物理（全套10册：力学、热学、光学、振动和波、电磁学、流体力学、原子物理、光学史、相对论、量子力学）[3-10岁],科学,李永乐 著,240,268.00,268.00,江苏凤凰科学技术出版社,2万+,0.98,2020-09-01
12069381,亲亲科学图书馆1-4辑（礼盒装共40册）科学启蒙图书（小土、海桐妈妈推荐）[3-6岁],科学,[法] 史黛芬妮·勒迪 等 著 [法] 卡特琳娜·布徐 等 绘 姚美 沈志红 译,1440,480.00,400.00,安徽教育出版社,20万+,0.99,2017-05-01
13279772,半小时漫画科学史系列（全三册）,科学,陈磊·半小时漫画团队 著,864,132.00,132.00,文汇出版社,10万+,0.99,2021-06-01
12654491,万物科学绘本幼儿小百科幼儿大科学百科启蒙礼盒全24本[3-6岁],科学,马劲 等 著,unknown,597.60,492.20,北京联合出版公司,50万+,0.99,2018-05-01
69150299534,改变历史的科学故事天文地理科学科普知识图书籍世界重大发明与发现大全集青少年初高中生课外读物,科学,,unknown,75.00,22.00,中国华侨出版社,93,0.91,unknown
12125924,人类简史从动物到上帝（新版）我是谁 我从哪里来又要到哪里去尤瓦尔赫拉利作品中信出版社[Sapiens:Abriefhistoryofhumankind],科学,【以色列】尤瓦尔·赫拉利 著 林俊宏 译,417,68.00,44.10,中信出版社,50万+,0.99,2017-03-01
12997526,美国儿科学会育儿百科（第7版）[CaringforYourBabyandYoungChild 7thEdition:],科学,美国儿科学会 著 [美] 塔尼娅·奥尔特曼 编 唐亚 张彦希 周莉 陈铭宇 池丽叶 ... 译,944,108.00,64.80,北京科学技术出版社,10万+,0.99,2020-12-01
12816080,万能工程师麦克套装全22册动脑动手科学绘本3-6岁儿童必读的机器绘本包邮[3-6岁],科学,[瑞典] 乔治·约翰逊 著 心喜阅童书 编 [瑞典] 延斯·阿布 绘 王梦达 译,632,424.00,402.80,长江少年儿童出版社,50万+,0.99,2020-04-01
12679684,DK儿童情绪管理 我不生气 冷静是种超能力[3-12岁],科学,英国DK公司 著 鸿志文化 译,unknown,68.00,67.30,天津科学技术出版社,10万+,0.99,2019-06-01
30464197453,人类图：区分的科学港台原版本事出版人格天赋潜能开发,科学,拉烏盧胡 著,unknown,443.00,180.00,本事,200+,1.0,unknown
34089067018,正版玩转科学游戏中的科学和知识科学书籍,科学,,unknown,75.00,38.80,北京联合出版公司,100+,1.0,2014-10-01
11732453,我的第一本搞笑科普漫画书：不可思议的现象[7-10岁],科学,侯海博 编,413,75.00,56.30,北京联合出版公司,2万+,0.99,2015-07-01
12652371,美丽的数学,科学,[美爱德华·沙伊纳曼（Edward Scheinerman） 著 张缘 编,328,58.00,58.00,湖南科学技术出版社,10万+,0.99,2020-06-01
13286600,半小时漫画科学史3（看各路科学大咖爆笑掐架 轻松爱上数理化。）,科学,陈磊·半小时漫画团队 著,288,45.00,45.00,文汇出版社,10万+,0.99,2021-06-01
13305668,生命的反转：急重症科医生手记,科学,李文丰 凤凰联动 著,unknown,58.00,55.10,天津科学技术出版社,500+,1.0,2021-06-01
12301719,游戏中的科学（彩图版）中小学生课外阅读书籍青少年儿童科普书,科学,魏红霞 编,314,24.80,21.10,北京教育出版社,10万+,0.99,2014-06-01
10024579215376,【抖音同款】全3册玩转科学:游戏中的科学和知识+哈佛学生全世界优等生都在做的900个思维游戏书籍【全3册】玩转科学思维游戏,科学,方怡 著,425,255.00,59.80,北京联合出版公司,200+,0.93,unknown
10011239,乡土中国,科学,费孝通 著,120,16.00,13.60,人民出版社,10万+,0.98,2008-10-01
11092975,海底两万里（中小学课外阅读）七年级下册阅读新老版本随机发货智慧熊图书,科学,[法] 儒勒·凡尔纳（Verne J.） 著 闻钟 编,202,14.80,13.30,时代文艺出版社,100万+,0.99,2021-06-01
13278964,中文核心期刊要目总览(2020年版),科学,陈建龙 张俊娥 蔡蓉华 著,1108,500.00,457.50,北京大学出版社,500+,1.0,2021-05-01
