goodsID,name,type,author,page_size,origin_price,preferential_price,publisher,comments_count,favorable_rate,publish_time
12786751,大语文那些事儿（全6册）提升孩子听、说、读、写能力 让孩子真正学会语文[6-12岁],文学,赵旭 著,unknown,180.00,178.20,北京理工大学出版社,20万+,0.99,2020-10-01
12759521,孩子读得懂的山海经（函套3册）[6-10岁],文学,兰梦醒 贺维芳 许萍萍 著,624,219.00,187.70,北京理工大学出版社,10万+,0.99,2020-11-01
12345166,米小圈上学记二年级（套装共4册）小学生课外阅读书籍注音版[7-10岁],文学,北猫 著,unknown,100.00,94.10,四川少年儿童出版社,20万+,0.99,2018-03-01
12335253,米小圈上学记一年级（套装共4册）小学生课外阅读书籍注音版[7-10岁],文学,北猫 著,unknown,100.00,94.10,四川少年儿童出版社,20万+,0.99,2018-03-01
12879012,米小圈脑筋急转弯（第一辑+第二辑)（套装共8册）[7-10岁],文学,北猫 著,unknown,128.00,116.50,四川少年儿童出版社有限公司,100万+,0.99,2020-06-01
12856258,画给孩子的中国历史:精装彩绘本（地图里的上下五千年 孩子拿起来就放不下 故宫院长盛赞。）[7-10岁],文学,柳萍 著,unknown,58.00,43.50,吉林美术出版社,100万+,0.98,2019-12-01
12198881,哈利波特典藏版（套装全七册）[7-10岁],文学,[英] J.K.罗琳 著 苏农 马爱农 马爱新 译,3104,648.00,502.20,人民文学出版社,50万+,0.99,2017-09-01
11742781,鲁迅全集（全20卷 纪念鲁迅先生逝世80周年！）,文学,鲁迅 著,7400,598.00,538.20,北京日报出版社（原同心出版社）,1万+,0.99,2014-01-01
12277614,八年级（上）名著导读指定书目：红星照耀中国（青少版）+飞向太空港+长征（上下）（套装共4册）,文学,王树增 埃德加·斯诺 董乐山 李鸣生 著,unknown,134.00,134.00,人民文学出版社,100万+,0.99,2017-12-01
12365839,水浒传（上下）（《语文》推荐阅读丛书人民文学出版社）,文学,[明] 施耐庵 罗贯中 著,1260,63.00,63.00,人民文学出版社,20万+,0.99,2018-06-01
12853906,心安即是归处京东专享（季羡林百年生命智慧。央视《朗读者》多次动情朗读本书名篇 贾平凹、白岩松、金庸、林青霞诚意推荐）,文学,季羡林 著,260,49.00,36.80,古吴轩出版社,5万+,0.99,2020-07-01
12093747,余华：活着（精装版 余华代表作 易烊千玺推荐阅读版本）,文学,余华 著,224,35.00,17.50,北京十月文艺出版社,20万+,0.99,2017-06-01
12639313,故宫里的大怪兽（纪念紫禁城建成600周年礼品套盒15册 附赠手绘故宫怪兽地图）[6-14岁],文学,常怡 著,2288,420.00,375.50,中国大百科全书出版社,10万+,0.99,2020-04-01
12289675,大侦探福尔摩斯小学生版第一辑套装全6册一年级二年级三年级四五六年级课外阅读书籍知乎母婴盐究员七优推荐[7-10岁],文学,[中国香港] 厉河 著 心喜阅童书 编 [中国香港] 余远锽 绘,792,114.00,83.00,湖北教育出版社,20万+,0.99,2018-03-01
12093815,红星照耀中国（又译《西行漫记》）（畅销千万册青少版八年级上必读人民文学出版社）,文学,[美] 埃德加·斯诺 著 董乐山 译,387,33.00,29.00,人民文学出版社,100万+,0.99,2017-06-01
12345170,米小圈上学记三年级（套装共4册）小学生课外阅读书籍[7-10岁],文学,北猫 著,unknown,100.00,94.10,四川少年儿童出版社,10万+,0.99,2018-03-01
12347500,米小圈上学记一年级--四年级（套装共16册）小学生课外阅读书籍[7-10岁],文学,北猫 著,unknown,400.00,376.50,四川少年儿童出版社,10万+,0.99,2018-03-01
11862483,米小圈脑筋急转弯(第一辑)（套装共4册）[7-10岁],文学,北猫 著,576,64.00,60.20,四川少年儿童出版社,100万+,0.99,2016-01-01
12376520,儒林外史（《语文》推荐阅读丛书人民文学出版社）,文学,[清] 吴敬梓 著,557,45.00,45.00,人民文学出版社,20万+,0.99,2018-06-01
12335275,米小圈上学记四年级（套装共4册）小学生课外阅读书籍[7-10岁],文学,北猫 著,unknown,100.00,94.10,四川少年儿童出版社,10万+,0.99,2018-04-01
12246051,长征（套装上下册）,文学,王树增 著,824,72.00,72.00,人民文学出版社,100万+,0.99,2017-12-01
12339107,朝花夕拾（《语文》推荐阅读丛书人民文学出版社）,文学,鲁迅 著,166,22.00,22.00,人民文学出版社,100万+,0.99,2018-05-01
12349230,艾青诗选（《语文》推荐阅读丛书人民文学出版社）,文学,艾青 著 王晓 编,278,26.00,26.00,人民文学出版社,20万+,0.99,2018-05-01
12098003,国际大奖小说注音版（给孩子独立阅读的童年礼盒装共20册）[7-10岁],文学,[德] 洛特·金仕可菲 等 著,unknown,398.00,394.00,新蕾出版社,5万+,0.99,2017-06-01
10031486195654,包邮刘慈欣科幻漫画系列第一辑第二辑（套装8册）【7-15岁】刘慈欣著中信出版社图书,文学,刘慈欣 等 著,unknown,545.80,272.90,中信出版社,500+,0.97,unknown
13316384,有本事（冯唐2021全新力作 一个人有本事才是靠得住的财富。京东专享有本事金句手账!）,文学,冯唐 著,20,58.00,44.50,北京联合出版公司,5万+,0.99,2021-07-01
12386424,童年（《语文》推荐阅读丛书人民文学出版社）,文学,[苏联] 高尔基 著 刘辽逸 译,276,30.00,30.00,人民文学出版社,20万+,0.99,1988-05-01
12365835,西游记（《语文》推荐阅读丛书人民文学出版社）,文学,吴承恩 著,1160,56.00,56.00,人民文学出版社,20万+,0.99,2018-06-01
12210259,姜小牙上学记（套装共4册）米小圈姊妹篇注音版[7-10岁],文学,北猫 著,536,90.00,84.70,四川少年儿童出版社,100万+,0.99,2017-10-01
12698069,凯叔口袋神探（全12册）[7-10岁],文学,果麦文化 出品；凯叔 著,unknown,477.60,477.60,山东画报出版社,10万+,0.99,2020-07-01
12365835,西游记（《语文》推荐阅读丛书人民文学出版社）,文学,吴承恩 著,1160,56.00,56.00,人民文学出版社,20万+,0.99,2018-06-01
12210259,姜小牙上学记（套装共4册）米小圈姊妹篇注音版[7-10岁],文学,北猫 著,536,90.00,84.70,四川少年儿童出版社,100万+,0.99,2017-10-01
12698069,凯叔口袋神探（全12册）[7-10岁],文学,果麦文化 出品；凯叔 著,unknown,477.60,477.60,山东画报出版社,10万+,0.99,2020-07-01
12042889,蒋勋说红楼梦（礼盒套装共8册）文学名家名著中信出版社,文学,蒋勋 著,unknown,398.00,398.00,中信出版社,5万+,0.99,2017-05-01
12365817,简·爱（《语文》推荐阅读丛书人民文学出版社）,文学,[英] 夏洛蒂·勃朗特 著,593,45.00,45.00,人民文学出版社,20万+,0.99,2018-06-01
12351919,昆虫记（《语文》推荐阅读丛书人民文学出版社）,文学,[法] 亨利·法布尔 著,260,26.00,26.00,人民文学出版社,100万+,0.99,2018-05-01
59294809647,【下单减150】哈利波特全套全集7册（新版）,文学,,unknown,350.00,350.00,人民文学出版社等,2000+,0.97,unknown
12708300,凯叔三国演义全集1-16(套装共16册 故事大王凯叔白话文版三国演义)[7-14岁],文学,凯叔 著,unknown,528.80,430.00,湖南少年儿童出版社,2万+,0.99,2019-10-01
