goodsID,name,type,author,page_size,origin_price,preferential_price,publisher,comments_count,favorable_rate,publish_time
10033113937555,宇宙大百科儿童书籍天文探秘揭秘小学生版少儿百科全书6-12周岁关于宇宙太空的书星球探索星空,天文学,,unknown,138.00,75.81,华龄出版社,0,1.0,unknown
10026635415574,全3册时间简史+物种起源+相对论自然科学启蒙天文学宇宙百科书籍插图版抖音同款,天文学,,unknown,128.00,26.80,中国华侨出版社,200+,0.97,unknown
12783184,知物·黑洞及类星体《我的第一套天文书》系列,天文学,[美] 世界图书出版公司（World Book Inc.） 著,unknown,49.00,49.00,机械工业出版社,2000+,0.99,2020-01-01
12683641,美国国家地理少儿双语百科：STEM科学天文地理+科技人文+哺乳动物+野生动物（套装共24册附扫码音频）[4-12岁][NationalGeographicKids],天文学,美国国家地理学会 著 [意] Franco Tempesta 绘 金烁锋 朱雯霏 马鸣 刘甜甜 等 译,1408,664.00,617.50,外语教学与研究出版社,10万+,0.99,2020-06-01
34592662721,天文学入门带你一步一步成功探索星空,天文学,[德] 魏纳·E.策尔尼克 [德] 赫尔曼-米歇尔·哈 著,unknown,79.00,45.10,北京科学技术出版社,1000+,0.99,2018-12-01
10023595905464,天文观测入门+天文学入门：带你一步一步成功探索星空2册套装新手初学北京科学技术出版社,天文学,,unknown,168.00,100.00,北京科学技术出版社,100+,1.0,2020-11-01
71102959124,天文书绘本&书籍儿童科幻知物·系列探寻多重宇宙+起源与归宿+时间的本质+发现黑洞：进化的宇宙观全4册,天文学,《环球科学》杂志社 著,unknown,386.00,270.00,机械工业出版社,7,1.0,unknown
12797448,给仰望者的天文朝圣之旅,天文学,[美] 切特·雷莫 著 [美] 迈克尔?麦柯迪 绘 高爽 译,264,55.00,31.90,北京联合出版公司,2万+,0.99,2019-12-01
12545573,图说时间简史：人人都看的懂得时间简史，所有你想知道的宇宙问题,天文学,楚丽萍 著,unknown,46.00,29.90,中国华侨出版社,2万+,0.98,2017-08-01
12916880,简明天文通识从0到1学天文迈克尔西兹等著中信出版社,天文学,[美] 迈克尔·西兹（Michael A.Seeds） [美] 达纳·巴克曼（Dana Backman） 著,480,168.00,168.00,中信出版集团股份有限公司,1万+,0.99,2020-08-01
12778791,unknown,天文学,unknown,unknown,139.00,139.00,unkown,100+,1.0,unknown
10025171322860,“哈勃”的宇宙哈勃，天文、星座、望远镜、宇宙、天体、物理、黑洞、引力波、夜观星空，暗能量，暗物质,天文学,,unknown,78.00,42.00,湖南科学技术出版社,100+,1.0,unknown
65282485989,天文气象/万物探索气候百科全书青少年中小学生气候知识科普书籍8-10-16岁课外阅读书探索发现科学,天文学,焦庆锋 著,unknown,45.00,26.80,山东美术出版社,4,1.0,unknown
68580583072,夜观星空：天文观测实践指南（过去30年星体观测书，震撼销售90万册，北京天文馆、,天文学,谢懿 译,unknown,78.00,46.80,北京科学技术出版社,99,0.81,unknown
70458790978,太空3D立体书乐乐趣趣味科普类书籍3-6-8-12岁儿童太空百科全书关于揭秘我们宇宙天文学的翻,天文学,,unknown,128.00,76.80,未来出版社,500+,1.0,unknown
12638163,天文望远镜原理和设计,天文学,程景全 著,524,158.00,124.80,南京大学出版社,96,1.0,2020-01-01
1466957262,霍金三部曲经典著作套装全3册时间简史+果壳中的宇宙+大设计史蒂芬.霍金原版大全集科普读物,天文学,[英] 史蒂芬·霍金 编,unknown,135.00,81.00,湖南科技,2000+,0.98,2011-01-01
12161859,行星全书：美国宇航局NASA经典摄影集,天文学,[美] 尼尔马拉·纳塔瑞杰 著 董乐乐 译,260,258.00,242.80,北京联合出版公司,5万+,0.99,2017-09-01
1665005548,大设计，湖南科学技术出版社直发时间简史天文宇宙史蒂芬霍金科普书籍天文书籍宇宙吴忠超,天文学,[英] 斯蒂芬·霍金 [英] 列纳德·蒙洛迪诺 著,176,48.00,28.18,湖南科学技术出版社,27,0.95,unknown
11766998,霍金四部曲经典著作套装时间简史果壳中的宇宙大设计我的简史套装共4册[ABRIEFHISTORYOFTIMESTEPHENHAWKING's],天文学,[英] 史蒂芬·霍金 著 许明贤 吴志超 译,unknown,177.00,120.00,湖南科学技术出版社,20万+,0.98,2015-09-01
12251458,天文星座观测全天88星座漫游指南,天文学,[英] Giles Sparrow 著 孙媛媛 译,223,79.00,79.00,人民邮电出版社,500+,0.98,2017-10-01
12405133,每月之星,天文学,陶宏 著,unknown,26.00,26.00,湖北科学技术出版社,500+,0.99,2018-07-01
12267382,伴星共生,天文学,[日] 藤井旭 著 EasyNight 译,188,49.80,49.80,湖南科学技术出版社,10万+,0.99,2017-11-01
10028670321555,好奇宝宝和博学爸爸全7册儿童科学科普百科全书天文地理物理化学地球人体宇宙3-6-12岁小学生课外书籍,天文学,,unknown,208.60,69.00,长江少年儿童出版社,59,1.0,unknown
47059311138,DK儿童大百科全书太空地球海洋+恐龙鸟类哺乳动物7-12岁小学生科普百科全套天文宇宙奥秘书籍,天文学,,unknown,236.00,79.80,电子工业出版社,59,1.0,unknown
10059049368,全3册时间的形状+柔软的宇宙+星空的琴弦汪洁吴京平著套装共3册宇宙深处相对论史话相对论史话,天文学,,unknown,145.80,74.80,北京时代华文书局,200+,0.99,unknown
72254351924,望向星空深处,天文学,[美国] 蒂莫西·费里斯 著,unknown,98.00,50.00,译林出版社,200+,1.0,2020-08-01
13105542,NASA深空探索：钱德拉X射线天文台20年全记录,天文学,金伯利·阿坎德 著,200,158.00,158.00,江苏凤凰科学技术出版社,5万+,0.99,2021-02-01
22693440807,星际穿越,天文学,[美] 基普·索恩（KipThorne）著苟利军 王 著,unknown,84.90,55.10,浙江人民出版社,200+,1.0,2015-06-01
53707677516,夜观星空天文观测实践指+天文学入门带你一步一步成功探索星,天文学,[加] 特伦斯·迪金森著谢懿译 著,unknown,157.00,84.00,北京科学技术出版社,200+,0.95,2012-09-01
1664990196,果壳中的宇宙.湖南科学技术出版社直发霍金史蒂芬霍金天文宇宙果壳科普书籍,天文学,史蒂芬·霍金 著,200,42.00,30.20,湖南科学技术出版社,51,0.97,unknown
12908006,宇宙公民（太空2.0重返月球、登录火星、太空移民及人类的未来。畅销科普作家李淼、知乎天文学领域大V刘博洋震撼推荐！）,天文学,[美] 罗德·派尔 紫图出品 著,unknown,118.00,111.10,北京联合出版公司,200+,0.96,2020-07-01
10022397127874,宇宙中的生命【套装6册】穿越平行宇宙+暗物质与恐龙+弯曲的旅行+叩响天堂之门+穿越平行宇宙,天文学,,unknown,566.60,555.00,浙江人民出版社,0,1.0,unknown
12194243,宇宙：从起源到未来（对话最伟大的头脑·大思考系列）,天文学,[美] 约翰·布罗克曼（John Brockman） 著,unknown,79.90,79.90,浙江人民出版社,2000+,0.99,2017-09-01
12664744,认识飞行（第二版）:揭密行空飞行原理 修正常见认知错误,天文学,[美] D.F.安德森（David F.Anderson） 著 周尧明 译,336,68.00,68.00,北京联合出版公司,5000+,0.99,2019-07-01
12877416,伴月共生,天文学,[日] 藤井旭 著 韩天洋 译,unknown,49.80,49.80,中信出版集团,10万+,0.99,2020-05-01
